-20000 100 12.9343 5.80683
-10000 100 12.9952 5.89797
-1000 100 13.9206 7.19027
-100 100 16.0877 6.83651
-10 100 16.8642 8.28684
0 100 16.3955 9.53747
10 100 16.3478 10.47555
50 100 16.2849 12.64431
100 100 15.8652 13.58772
1000 100 14.3487 22.30416
100000 100 14.0925 25.80222
-20000 500 14.1075 4.15989
-10000 500 14.1329 4.22255
-1000 500 15.3163 4.47092
-100 500 17.8891 4.33378
-10 500 18.8277 4.86896
0 500 19.0199 5.36720
10 500 18.9343 5.94904
50 500 18.3651 6.94507
100 500 17.6926 7.66432
1000 500 16.0633 11.30008
100000 500 15.7918 11.65467
-20000 1000 15.3386 3.46674
-10000 1000 15.3266 3.48478
-1000 1000 16.052 3.52895
-100 1000 18.4544 3.66485
-10 1000 20.596 4.00522
0 1000 20.6277 4.39385
10 1000 20.4221 4.87653
50 1000 19.618 5.62384
100 1000 18.9741 6.23862
1000 1000 17.197 8.34255
100000 1000 16.8911 8.44867
-20000 5000 18.4336 2.36796
-10000 5000 18.4319 2.36831
-1000 5000 18.6987 2.37253
-100 5000 20.8506 2.41873
-10 5000 22.6975 2.63861
0 5000 23.0022 2.79186
10 5000 22.8615 2.98383
50 5000 22.2592 3.34756
100 5000 21.8298 3.59287
1000 5000 20.2864 3.94200
100000 5000 20.0858 3.95476
-20000 10000 20.3833 2.03629
-10000 10000 20.3833 2.03629
-1000 10000 20.4312 2.03600
-100 10000 22.0937 2.07808
-10 10000 23.6244 2.21504
0 10000 23.8316 2.32619
10 10000 23.7485 2.42287
50 10000 23.3623 2.61333
100 10000 22.9425 2.70194
1000 10000 21.7169 2.77290
100000 10000 21.6069 2.77319
-20000 50000 25.2384 1.45536
-10000 50000 25.2384 1.45536
-1000 50000 25.2384 1.45536
-100 50000 25.5952 1.45523
-10 50000 25.8627 1.45914
0 50000 25.912 1.46270
10 50000 25.9412 1.46815
50 50000 25.9121 1.47309
100 50000 25.8705 1.47627
1000 50000 25.4931 1.48043
100000 50000 25.4931 1.48043
