-20000 100 11.7236 8.66264
-10000 100 11.4892 8.00952
-1000 100 12.6621 8.82620
-100 100 14.5456 9.55734
-10 100 15.0469 10.90955
0 100 14.8983 12.21813
10 100 15.0229 13.31248
50 100 15.0253 15.09100
100 100 14.7008 15.82160
1000 100 12.9367 23.85347
100000 100 12.6461 25.80632
-20000 500 12.7074 4.87841
-10000 500 12.7383 4.77287
-1000 500 14.1378 5.13998
-100 500 16.4097 5.41356
-10 500 17.0726 6.15883
0 500 17.0897 7.03973
10 500 17.0238 7.65084
50 500 16.6174 8.68426
100 500 16.2233 9.49778
1000 500 14.5957 12.29448
100000 500 14.2425 12.59279
-20000 1000 13.6583 3.93881
-10000 1000 13.6554 3.94299
-1000 1000 14.7022 4.11653
-100 1000 17.7356 4.44291
-10 1000 18.4657 5.03635
0 1000 18.5492 5.67022
10 1000 18.536 6.09131
50 1000 18.0224 6.98849
100 1000 17.6305 7.52162
1000 1000 15.7809 9.15143
100000 1000 15.3859 9.33525
-20000 5000 17.0362 2.69068
-10000 5000 17.0356 2.69163
-1000 5000 17.2974 2.70557
-100 5000 19.972 2.85566
-10 5000 21.1286 3.18305
0 5000 21.1374 3.41401
10 5000 21.0946 3.61703
50 5000 20.6992 3.91134
100 5000 20.2899 4.11044
1000 5000 18.829 4.49550
100000 5000 18.5352 4.50821
-20000 10000 19.0894 2.22466
-10000 10000 19.0894 2.22466
-1000 10000 19.2098 2.23070
-100 10000 21.0904 2.37749
-10 10000 22.3087 2.60190
0 10000 22.3385 2.73805
10 10000 22.2643 2.82511
50 10000 21.9853 2.98808
100 10000 21.6328 3.08731
1000 10000 20.5216 3.18016
100000 10000 20.3392 3.17640
-20000 50000 24.4128 1.64985
-10000 50000 24.4128 1.64985
-1000 50000 24.4291 1.64977
-100 50000 24.8409 1.65214
-10 50000 25.037 1.65966
0 50000 25.0464 1.66525
10 50000 25.052 1.66723
50 50000 25.0567 1.67463
100 50000 25.0443 1.67947
1000 50000 24.7384 1.68691
100000 50000 24.7314 1.68710
